"Time","BPS-AOT","BPS-JIT","EPS-AOT","EPS-JIT","FUS-AOT","FUS-JIT","SRS-AOT","SRS-JIT"
2024-04-29 18:20:00,,,,,,,,
2024-04-29 18:20:01,,,,,,,,
2024-04-29 18:20:02,,,,,,,,
2024-04-29 18:20:03,,,,,,,,
2024-04-29 18:20:04,,,,,,,,
2024-04-29 18:20:05,,,,,,,,
2024-04-29 18:20:06,,,,,,,,
2024-04-29 18:20:07,,,,,,,,
2024-04-29 18:20:08,,,,,,,,
2024-04-29 18:20:09,,,,,,,,
2024-04-29 18:20:10,,,,,,,,
2024-04-29 18:20:11,,,,,,,,
2024-04-29 18:20:12,,,,,,,,
2024-04-29 18:20:13,,,,,,,,
2024-04-29 18:20:14,,,,,,,,
2024-04-29 18:20:15,,,,,,,,
2024-04-29 18:20:16,,,,,,,,
2024-04-29 18:20:17,,,,,,,,
2024-04-29 18:20:18,,,,,,,,
2024-04-29 18:20:19,,,,,,,,
2024-04-29 18:20:20,,,,,,,,
2024-04-29 18:20:21,,,,,,,,
2024-04-29 18:20:22,,,,,,,,
2024-04-29 18:20:23,,,,,,,,
2024-04-29 18:20:24,,,,,,,,
2024-04-29 18:20:25,,,,,,,,
2024-04-29 18:20:26,,,,,,,,
2024-04-29 18:20:27,,,,,,,,
2024-04-29 18:20:28,,,,,,,,
2024-04-29 18:20:29,,,,,,,,
2024-04-29 18:20:30,,,,,,,,
2024-04-29 18:20:31,,,,,,,,
2024-04-29 18:20:32,,,,,,,,
2024-04-29 18:20:33,,,,,,,,
2024-04-29 18:20:34,,,,,,,,
2024-04-29 18:20:35,,,,,,,,
2024-04-29 18:20:36,,,,,,,,
2024-04-29 18:20:37,,,,,,,,
2024-04-29 18:20:38,,,,,,,,
2024-04-29 18:20:39,,,,,,,,
2024-04-29 18:20:40,,,,,,,,
2024-04-29 18:20:41,,,,,,,,
2024-04-29 18:20:42,,,,,,,,
2024-04-29 18:20:43,,,,,,,,
2024-04-29 18:20:44,,,,,,,,
2024-04-29 18:20:45,,,,,,,,
2024-04-29 18:20:46,,,,,,,,
2024-04-29 18:20:47,,,,,,,,
2024-04-29 18:20:48,,,,,,,,
2024-04-29 18:20:49,,,,,,,,
2024-04-29 18:20:50,,,,,,,,
2024-04-29 18:20:51,,,,,,,,
2024-04-29 18:20:52,,,,,,,,
2024-04-29 18:20:53,,,,,,,,
2024-04-29 18:20:54,,,,,,,,
2024-04-29 18:20:55,,,,,,,,
2024-04-29 18:20:56,,,,,,,,
2024-04-29 18:20:57,,,,,,,,
2024-04-29 18:20:58,,,,,,,,
2024-04-29 18:20:59,,,,,,,,
2024-04-29 18:21:00,,,,,,,,
2024-04-29 18:21:01,,,,,,,,
2024-04-29 18:21:02,,,,,,,,
2024-04-29 18:21:03,,,,,,,,
2024-04-29 18:21:04,,,,,,,,
2024-04-29 18:21:05,,,,,,,,
2024-04-29 18:21:06,,,,,,,,
2024-04-29 18:21:07,,,,,,,,
2024-04-29 18:21:08,,,,,,,,
2024-04-29 18:21:09,,,,,,,,
2024-04-29 18:21:10,,,,,,,,
2024-04-29 18:21:11,,,,,,,,
2024-04-29 18:21:12,,,,,,,,
2024-04-29 18:21:13,,,,,,,,
2024-04-29 18:21:14,,,,,,,,
2024-04-29 18:21:15,,,,,,,,
2024-04-29 18:21:16,,,,,,,,
2024-04-29 18:21:17,,,,,,,,
2024-04-29 18:21:18,,,,,,,,
2024-04-29 18:21:19,,,,,,,,
2024-04-29 18:21:20,,,,,,,,
2024-04-29 18:21:21,,,,,,,,
2024-04-29 18:21:22,,,,,,,,
2024-04-29 18:21:23,,,,,,,,
2024-04-29 18:21:24,,,,,,,,
2024-04-29 18:21:25,,,,,,,,
2024-04-29 18:21:26,,,,,,,,
2024-04-29 18:21:27,,,,,,,,
2024-04-29 18:21:28,,,,,,,,
2024-04-29 18:21:29,,,,,,,,
2024-04-29 18:21:30,,,,,,,,
2024-04-29 18:21:31,,,,,,,,
2024-04-29 18:21:32,,,,,,,,
2024-04-29 18:21:33,,,,,,,,
2024-04-29 18:21:34,,,,,,,,
2024-04-29 18:21:35,,,,,,,,
2024-04-29 18:21:36,,,,,,,,
2024-04-29 18:21:37,,,,,,,,
2024-04-29 18:21:38,,,,,,,,
2024-04-29 18:21:39,,,,,,,,
2024-04-29 18:21:40,,,,,,,,
2024-04-29 18:21:41,,,,,,,,
2024-04-29 18:21:42,,,,,,,,
2024-04-29 18:21:43,,,,,,,,
2024-04-29 18:21:44,,,,,,,,
2024-04-29 18:21:45,,,,,,,,
2024-04-29 18:21:46,,,,,,,,
2024-04-29 18:21:47,,,,,,,,
2024-04-29 18:21:48,,,,,,,,
2024-04-29 18:21:49,,,,,,,,
2024-04-29 18:21:50,,,,,,,,
2024-04-29 18:21:51,,,,,,,,
2024-04-29 18:21:52,,,,,,,,
2024-04-29 18:21:53,,,,,,,,
2024-04-29 18:21:54,,,,,,,,
2024-04-29 18:21:55,,,,,,,,
2024-04-29 18:21:56,,,,,,,,
2024-04-29 18:21:57,,,,,,,,
2024-04-29 18:21:58,,,,,,,,
2024-04-29 18:21:59,,,,,,,,
2024-04-29 18:22:00,,,,,,,,
2024-04-29 18:22:01,,,,,,,,
2024-04-29 18:22:02,,,,,,,,5.56 ms
2024-04-29 18:22:03,,,,,,,,5.53 ms
2024-04-29 18:22:04,,,,,,,,4.42 ms
2024-04-29 18:22:05,,,,,,,,3.38 ms
2024-04-29 18:22:06,,,,,,,,5.62 ms
2024-04-29 18:22:07,,,,,,,,4.22 ms
2024-04-29 18:22:08,,,,,,,,3.84 ms
2024-04-29 18:22:09,,,,,,,,4.23 ms
2024-04-29 18:22:10,,,,,,,,3.18 ms
2024-04-29 18:22:11,,,,,,,,4.03 ms
2024-04-29 18:22:12,,,,,,,,3.21 ms
2024-04-29 18:22:13,,,,,,,,2.62 ms
2024-04-29 18:22:14,,,,,,,,3.17 ms
2024-04-29 18:22:15,,,,,,,,11.4 ms
2024-04-29 18:22:16,,,,,,,,1.96 ms
2024-04-29 18:22:17,,,,,,,,4.82 ms
2024-04-29 18:22:18,,,,,,,,3.44 ms
2024-04-29 18:22:19,,,,,,,,3.27 ms
2024-04-29 18:22:20,,,,,,,,3.37 ms
2024-04-29 18:22:21,,,,,,,,3.65 ms
2024-04-29 18:22:22,,,,,,,,3.84 ms
2024-04-29 18:22:23,,,,,,,,
2024-04-29 18:22:24,,,,,,,,
2024-04-29 18:22:25,,,,,,,1.76 ms,
2024-04-29 18:22:26,,,,,,,1.92 ms,
2024-04-29 18:22:27,,,,,,,2.97 ms,
2024-04-29 18:22:28,,,,,,,4.59 ms,
2024-04-29 18:22:29,,,,,,,2.51 ms,
2024-04-29 18:22:30,,,,,,,1.79 ms,
2024-04-29 18:22:31,,,,,,,3.05 ms,
2024-04-29 18:22:32,,,,,,,2.32 ms,
2024-04-29 18:22:33,,,,,,,1.97 ms,
2024-04-29 18:22:34,,,,,,,1.55 ms,
2024-04-29 18:22:35,,,,,,,6.22 ms,
2024-04-29 18:22:36,,,,,,,1.84 ms,
2024-04-29 18:22:37,,,,,,,1.82 ms,
2024-04-29 18:22:38,,,,,,,1.65 ms,
2024-04-29 18:22:39,,,,,,,10.7 ms,
2024-04-29 18:22:40,,,,,,,7.84 ms,
2024-04-29 18:22:41,,,,,,,4.11 ms,
2024-04-29 18:22:42,,,,,,,2.23 ms,
2024-04-29 18:22:43,,,,,,,1.83 ms,
2024-04-29 18:22:44,,,,,,,1.72 ms,
2024-04-29 18:22:45,,,,,,,1.61 ms,
2024-04-29 18:22:46,,,,,,,,
2024-04-29 18:22:47,,,,,,,,
2024-04-29 18:22:48,,,,,,,,
2024-04-29 18:22:49,,,,,,4.02 ms,,
2024-04-29 18:22:50,,,,,,3.61 ms,,
2024-04-29 18:22:51,,,,,,3.03 ms,,
2024-04-29 18:22:52,,,,,,3.97 ms,,
2024-04-29 18:22:53,,,,,,2.51 ms,,
2024-04-29 18:22:54,,,,,,5.27 ms,,
