"Time","fus-aot-service","fus-jit-service"
2024-05-11 22:01:05,,7.35 ms
2024-05-11 22:01:10,,9.45 ms
2024-05-11 22:01:15,,10.4 ms
2024-05-11 22:01:20,,12.3 ms
2024-05-11 22:01:25,,14.1 ms
2024-05-11 22:01:30,,16.0 ms
2024-05-11 22:01:35,,17.1 ms
2024-05-11 22:01:40,,18.9 ms
2024-05-11 22:01:45,,19.4 ms
2024-05-11 22:01:50,,21.1 ms
2024-05-11 22:01:55,,19.8 ms
2024-05-11 22:02:00,,19.8 ms
2024-05-11 22:02:05,2.78 ms,19.8 ms
2024-05-11 22:02:10,3.56 ms,19.8 ms
2024-05-11 22:02:15,4.45 ms,19.8 ms
2024-05-11 22:02:20,5.25 ms,19.8 ms
2024-05-11 22:02:25,5.72 ms,19.8 ms
2024-05-11 22:02:30,6.47 ms,19.8 ms
2024-05-11 22:02:35,7.10 ms,19.8 ms
2024-05-11 22:02:40,7.84 ms,19.8 ms
2024-05-11 22:02:45,8.22 ms,19.8 ms
2024-05-11 22:02:50,8.93 ms,19.8 ms
2024-05-11 22:02:55,8.46 ms,19.8 ms
2024-05-11 22:03:00,8.46 ms,19.8 ms
2024-05-11 22:03:05,8.46 ms,19.8 ms
2024-05-11 22:03:10,8.46 ms,19.8 ms
2024-05-11 22:03:15,8.46 ms,19.8 ms
2024-05-11 22:03:20,8.46 ms,19.8 ms
2024-05-11 22:03:25,8.46 ms,19.8 ms
2024-05-11 22:03:30,8.46 ms,19.8 ms
2024-05-11 22:03:35,8.46 ms,19.8 ms
2024-05-11 22:03:40,8.46 ms,19.8 ms
2024-05-11 22:03:45,8.46 ms,19.8 ms
2024-05-11 22:03:50,8.46 ms,19.8 ms
2024-05-11 22:03:55,8.46 ms,19.8 ms
2024-05-11 22:04:00,8.46 ms,19.8 ms
2024-05-11 22:04:05,8.46 ms,19.8 ms
2024-05-11 22:04:10,8.46 ms,19.8 ms
2024-05-11 22:04:15,8.46 ms,19.8 ms
2024-05-11 22:04:20,8.46 ms,19.8 ms
2024-05-11 22:04:25,8.46 ms,19.8 ms
2024-05-11 22:04:30,8.46 ms,19.8 ms
2024-05-11 22:04:35,8.46 ms,19.8 ms
2024-05-11 22:04:40,8.46 ms,19.8 ms
2024-05-11 22:04:45,8.46 ms,20.6 ms
2024-05-11 22:04:50,8.46 ms,18.9 ms
2024-05-11 22:04:55,8.46 ms,16.2 ms
2024-05-11 22:05:00,8.46 ms,14.6 ms
2024-05-11 22:05:05,8.46 ms,12.7 ms
2024-05-11 22:05:10,8.46 ms,11.2 ms
2024-05-11 22:05:15,8.46 ms,8.64 ms
2024-05-11 22:05:20,8.46 ms,7.25 ms
2024-05-11 22:05:25,8.46 ms,5.01 ms
2024-05-11 22:05:30,8.46 ms,3.80 ms
2024-05-11 22:05:35,8.46 ms,
2024-05-11 22:05:40,8.46 ms,
2024-05-11 22:05:45,8.73 ms,
2024-05-11 22:05:50,8.02 ms,
2024-05-11 22:05:55,7.15 ms,
2024-05-11 22:06:00,6.46 ms,
2024-05-11 22:06:05,5.44 ms,
2024-05-11 22:06:10,4.78 ms,
2024-05-11 22:06:15,4.07 ms,
2024-05-11 22:06:20,3.43 ms,
2024-05-11 22:06:25,2.50 ms,
2024-05-11 22:06:30,1.92 ms,
