"Time","fus-aot-service","fus-jit-service"
2024-05-11 22:01:05,,0.550 ns
2024-05-11 22:01:10,,0.708 ns
2024-05-11 22:01:15,,0.979 ns
2024-05-11 22:01:20,,1.16 ns
2024-05-11 22:01:25,,1.87 ns
2024-05-11 22:01:30,,2.12 ns
2024-05-11 22:01:35,,2.39 ns
2024-05-11 22:01:40,,2.64 ns
2024-05-11 22:01:45,,2.68 ns
2024-05-11 22:01:50,,2.91 ns
2024-05-11 22:01:55,,2.73 ns
2024-05-11 22:02:00,,2.73 ns
2024-05-11 22:02:05,0.568 ns,2.73 ns
2024-05-11 22:02:10,0.726 ns,2.73 ns
2024-05-11 22:02:15,1.22 ns,2.73 ns
2024-05-11 22:02:20,1.44 ns,2.73 ns
2024-05-11 22:02:25,1.85 ns,2.73 ns
2024-05-11 22:02:30,2.09 ns,2.73 ns
2024-05-11 22:02:35,2.25 ns,2.73 ns
2024-05-11 22:02:40,2.48 ns,2.73 ns
2024-05-11 22:02:45,2.82 ns,2.73 ns
2024-05-11 22:02:50,3.07 ns,2.73 ns
2024-05-11 22:02:55,2.91 ns,2.73 ns
2024-05-11 22:03:00,2.91 ns,2.73 ns
2024-05-11 22:03:05,2.91 ns,2.73 ns
2024-05-11 22:03:10,2.91 ns,2.73 ns
2024-05-11 22:03:15,2.91 ns,2.73 ns
2024-05-11 22:03:20,2.91 ns,2.73 ns
2024-05-11 22:03:25,2.91 ns,2.73 ns
2024-05-11 22:03:30,2.91 ns,2.73 ns
2024-05-11 22:03:35,2.91 ns,2.73 ns
2024-05-11 22:03:40,2.91 ns,2.73 ns
2024-05-11 22:03:45,2.91 ns,2.73 ns
2024-05-11 22:03:50,2.91 ns,2.73 ns
2024-05-11 22:03:55,2.91 ns,2.73 ns
2024-05-11 22:04:00,2.91 ns,2.73 ns
2024-05-11 22:04:05,2.91 ns,2.73 ns
2024-05-11 22:04:10,2.91 ns,2.73 ns
2024-05-11 22:04:15,2.91 ns,2.73 ns
2024-05-11 22:04:20,2.91 ns,2.73 ns
2024-05-11 22:04:25,2.91 ns,2.73 ns
2024-05-11 22:04:30,2.91 ns,2.73 ns
2024-05-11 22:04:35,2.91 ns,2.73 ns
2024-05-11 22:04:40,2.91 ns,2.73 ns
2024-05-11 22:04:45,2.91 ns,2.83 ns
2024-05-11 22:04:50,2.91 ns,2.60 ns
2024-05-11 22:04:55,2.91 ns,2.55 ns
2024-05-11 22:05:00,2.91 ns,2.30 ns
2024-05-11 22:05:05,2.91 ns,2.22 ns
2024-05-11 22:05:10,2.91 ns,1.95 ns
2024-05-11 22:05:15,2.91 ns,1.29 ns
2024-05-11 22:05:20,2.91 ns,1.08 ns
2024-05-11 22:05:25,2.91 ns,0.633 ns
2024-05-11 22:05:30,2.91 ns,0.480 ns
2024-05-11 22:05:35,2.91 ns,
2024-05-11 22:05:40,2.91 ns,
2024-05-11 22:05:45,3.00 ns,
2024-05-11 22:05:50,2.75 ns,
2024-05-11 22:05:55,2.73 ns,
2024-05-11 22:06:00,2.46 ns,
2024-05-11 22:06:05,2.16 ns,
2024-05-11 22:06:10,1.91 ns,
2024-05-11 22:06:15,1.54 ns,
2024-05-11 22:06:20,1.30 ns,
2024-05-11 22:06:25,1.21 ns,
2024-05-11 22:06:30,0.932 ns,
