"Time","JIT","AOT"
2024-04-29 23:17:00,,
2024-04-29 23:17:02,,
2024-04-29 23:17:04,,
2024-04-29 23:17:06,,
2024-04-29 23:17:08,,
2024-04-29 23:17:10,,
2024-04-29 23:17:12,,
2024-04-29 23:17:14,,
2024-04-29 23:17:16,,
2024-04-29 23:17:18,,
2024-04-29 23:17:20,,
2024-04-29 23:17:22,,
2024-04-29 23:17:24,,
2024-04-29 23:17:26,,
2024-04-29 23:17:28,,
2024-04-29 23:17:30,,
2024-04-29 23:17:32,,
2024-04-29 23:17:34,,
2024-04-29 23:17:36,,
2024-04-29 23:17:38,,
2024-04-29 23:17:40,,
2024-04-29 23:17:42,,
2024-04-29 23:17:44,,
2024-04-29 23:17:46,,
2024-04-29 23:17:48,,
2024-04-29 23:17:50,,
2024-04-29 23:17:52,,
2024-04-29 23:17:54,,
2024-04-29 23:17:56,,
2024-04-29 23:17:58,,
2024-04-29 23:18:00,,
2024-04-29 23:18:02,,
2024-04-29 23:18:04,,
2024-04-29 23:18:06,,
2024-04-29 23:18:08,,
2024-04-29 23:18:10,,
2024-04-29 23:18:12,,
2024-04-29 23:18:14,,
2024-04-29 23:18:16,,
2024-04-29 23:18:18,,
2024-04-29 23:18:20,,
2024-04-29 23:18:22,,
2024-04-29 23:18:24,,
2024-04-29 23:18:26,,
2024-04-29 23:18:28,,
2024-04-29 23:18:30,,
2024-04-29 23:18:32,,
2024-04-29 23:18:34,,
2024-04-29 23:18:36,,
2024-04-29 23:18:38,,
2024-04-29 23:18:40,,
2024-04-29 23:18:42,,
2024-04-29 23:18:44,,
2024-04-29 23:18:46,,
2024-04-29 23:18:48,,
2024-04-29 23:18:50,,
2024-04-29 23:18:52,,
2024-04-29 23:18:54,,
2024-04-29 23:18:56,,
2024-04-29 23:18:58,,
2024-04-29 23:19:00,,
2024-04-29 23:19:02,,
2024-04-29 23:19:04,,
2024-04-29 23:19:06,,
2024-04-29 23:19:08,,
2024-04-29 23:19:10,,
2024-04-29 23:19:12,,
2024-04-29 23:19:14,,
2024-04-29 23:19:16,,
2024-04-29 23:19:18,,
2024-04-29 23:19:20,,
2024-04-29 23:19:22,,
2024-04-29 23:19:24,,
2024-04-29 23:19:26,,
2024-04-29 23:19:28,,
2024-04-29 23:19:30,,
2024-04-29 23:19:32,,
2024-04-29 23:19:34,,
2024-04-29 23:19:36,,
2024-04-29 23:19:38,,
2024-04-29 23:19:40,,
2024-04-29 23:19:42,,
2024-04-29 23:19:44,,
2024-04-29 23:19:46,,
2024-04-29 23:19:48,,
2024-04-29 23:19:50,,
2024-04-29 23:19:52,,
2024-04-29 23:19:54,93.6 ms,
2024-04-29 23:19:56,5.72 ms,
2024-04-29 23:19:58,12.9 ms,
2024-04-29 23:20:00,4.69 ms,
2024-04-29 23:20:02,4.43 ms,
2024-04-29 23:20:04,5.43 ms,
2024-04-29 23:20:06,6.98 ms,
2024-04-29 23:20:08,6.87 ms,
2024-04-29 23:20:10,7.31 ms,
2024-04-29 23:20:12,6.17 ms,
2024-04-29 23:20:14,5.87 ms,
2024-04-29 23:20:16,5.32 ms,
2024-04-29 23:20:18,4.48 ms,
2024-04-29 23:20:20,4.38 ms,
2024-04-29 23:20:22,5.48 ms,
2024-04-29 23:20:24,4.49 ms,
2024-04-29 23:20:26,4.96 ms,
2024-04-29 23:20:28,3.61 ms,
2024-04-29 23:20:30,3.21 ms,
2024-04-29 23:20:32,4.15 ms,
2024-04-29 23:20:34,3.64 ms,
2024-04-29 23:20:36,3.58 ms,
2024-04-29 23:20:38,5.20 ms,
2024-04-29 23:20:40,5.10 ms,
2024-04-29 23:20:42,4.05 ms,
2024-04-29 23:20:44,3.49 ms,
2024-04-29 23:20:46,4.81 ms,
2024-04-29 23:20:48,2.83 ms,
2024-04-29 23:20:50,4.89 ms,
2024-04-29 23:20:52,4.59 ms,
2024-04-29 23:20:54,7.47 ms,
2024-04-29 23:20:56,,
2024-04-29 23:20:58,,11.8 ms
2024-04-29 23:21:00,,3.56 ms
2024-04-29 23:21:02,,4.47 ms
2024-04-29 23:21:04,,3.92 ms
2024-04-29 23:21:06,,3.20 ms
2024-04-29 23:21:08,,2.98 ms
2024-04-29 23:21:10,,3.79 ms
2024-04-29 23:21:12,,3.65 ms
2024-04-29 23:21:14,,5.92 ms
2024-04-29 23:21:16,,4.76 ms
2024-04-29 23:21:18,,2.87 ms
2024-04-29 23:21:20,,3.44 ms
2024-04-29 23:21:22,,3.74 ms
2024-04-29 23:21:24,,3.77 ms
2024-04-29 23:21:26,,5.22 ms
2024-04-29 23:21:28,,3.27 ms
2024-04-29 23:21:30,,3.34 ms
2024-04-29 23:21:32,,2.87 ms
2024-04-29 23:21:34,,3.63 ms
