"Time","JIT","AOT"
2024-04-30 23:50:00,,
2024-04-30 23:50:01,,
2024-04-30 23:50:02,,
2024-04-30 23:50:03,,
2024-04-30 23:50:04,,
2024-04-30 23:50:05,,
2024-04-30 23:50:06,,
2024-04-30 23:50:07,,
2024-04-30 23:50:08,,
2024-04-30 23:50:09,,
2024-04-30 23:50:10,,
2024-04-30 23:50:11,,
2024-04-30 23:50:12,,
2024-04-30 23:50:13,,
2024-04-30 23:50:14,,
2024-04-30 23:50:15,,
2024-04-30 23:50:16,,
2024-04-30 23:50:17,,
2024-04-30 23:50:18,,
2024-04-30 23:50:19,,
2024-04-30 23:50:20,,
2024-04-30 23:50:21,,
2024-04-30 23:50:22,,
2024-04-30 23:50:23,,
2024-04-30 23:50:24,,
2024-04-30 23:50:25,,
2024-04-30 23:50:26,,
2024-04-30 23:50:27,,
2024-04-30 23:50:28,,
2024-04-30 23:50:29,,
2024-04-30 23:50:30,,
2024-04-30 23:50:31,,
2024-04-30 23:50:32,,
2024-04-30 23:50:33,,
2024-04-30 23:50:34,,
2024-04-30 23:50:35,,
2024-04-30 23:50:36,,
2024-04-30 23:50:37,,
2024-04-30 23:50:38,,
2024-04-30 23:50:39,,
2024-04-30 23:50:40,,
2024-04-30 23:50:41,,
2024-04-30 23:50:42,,
2024-04-30 23:50:43,834 ms,
2024-04-30 23:50:44,,
2024-04-30 23:50:45,1.07 s,
2024-04-30 23:50:46,1.11 s,
2024-04-30 23:50:47,,
2024-04-30 23:50:48,,
2024-04-30 23:50:49,2.51 s,
2024-04-30 23:50:50,,
2024-04-30 23:50:51,,
2024-04-30 23:50:52,5.19 s,
2024-04-30 23:50:53,6.31 s,
2024-04-30 23:50:54,,
2024-04-30 23:50:55,,
2024-04-30 23:50:56,6.99 s,
2024-04-30 23:50:57,,
2024-04-30 23:50:58,7.68 s,
2024-04-30 23:50:59,,
2024-04-30 23:51:00,,
2024-04-30 23:51:01,,
2024-04-30 23:51:02,8.74 s,
2024-04-30 23:51:03,9.80 s,
2024-04-30 23:51:04,,
2024-04-30 23:51:05,11.0 s,
2024-04-30 23:51:06,9.22 s,
2024-04-30 23:51:07,8.52 s,
2024-04-30 23:51:08,,
2024-04-30 23:51:09,,
2024-04-30 23:51:10,,
2024-04-30 23:51:11,,761 ms
2024-04-30 23:51:12,,
2024-04-30 23:51:13,,923 ms
2024-04-30 23:51:14,,904 ms
2024-04-30 23:51:15,,808 ms
2024-04-30 23:51:16,,
2024-04-30 23:51:17,,1.97 s
2024-04-30 23:51:18,,
2024-04-30 23:51:19,,
2024-04-30 23:51:20,,
2024-04-30 23:51:21,,5.87 s
2024-04-30 23:51:22,,
2024-04-30 23:51:23,,6.88 s
2024-04-30 23:51:24,,
2024-04-30 23:51:25,,
2024-04-30 23:51:26,,
2024-04-30 23:51:27,,9.70 s
