"Time","bps-jit-service","bps-aot-service"
2024-05-12 11:52:00,1.60%,
2024-05-12 11:52:05,2.13%,
2024-05-12 11:52:10,2.63%,
2024-05-12 11:52:15,3.16%,
2024-05-12 11:52:20,3.68%,
2024-05-12 11:52:25,3.13%,
2024-05-12 11:52:30,3.13%,1.60%
2024-05-12 11:52:35,3.13%,2.12%
2024-05-12 11:52:40,3.13%,2.55%
2024-05-12 11:52:45,3.10%,3.06%
2024-05-12 11:52:50,2.56%,3.56%
2024-05-12 11:52:55,2.04%,3.00%
2024-05-12 11:53:00,,3.00%
2024-05-12 11:53:05,,3.00%
2024-05-12 11:53:10,,3.04%
2024-05-12 11:53:15,,2.95%
2024-05-12 11:53:20,,2.38%
2024-05-12 11:53:25,,1.89%
