"Time","bps-jit-service","bps-aot-service"
2024-05-12 11:52:00,0.455 ns,
2024-05-12 11:52:05,0.600 ns,
2024-05-12 11:52:10,0.574 ns,
2024-05-12 11:52:15,0.687 ns,
2024-05-12 11:52:20,0.799 ns,
2024-05-12 11:52:25,0.681 ns,
2024-05-12 11:52:30,0.681 ns,0.346 ns
2024-05-12 11:52:35,0.681 ns,0.458 ns
2024-05-12 11:52:40,0.681 ns,0.500 ns
2024-05-12 11:52:45,0.681 ns,0.598 ns
2024-05-12 11:52:50,0.681 ns,0.696 ns
2024-05-12 11:52:55,0.681 ns,0.587 ns
2024-05-12 11:53:00,0.681 ns,0.587 ns
2024-05-12 11:53:05,0.681 ns,0.587 ns
2024-05-12 11:53:10,0.681 ns,0.587 ns
2024-05-12 11:53:15,0.681 ns,0.587 ns
2024-05-12 11:53:20,0.681 ns,0.587 ns
2024-05-12 11:53:25,0.681 ns,0.587 ns
2024-05-12 11:53:30,0.681 ns,0.587 ns
2024-05-12 11:53:35,0.681 ns,0.587 ns
2024-05-12 11:53:40,0.681 ns,0.587 ns
