"Time","bps-jit-service","bps-aot-service"
2024-05-12 11:51:50,28.8 MB,
2024-05-12 11:51:55,28.8 MB,
2024-05-12 11:52:00,33.5 MB,
2024-05-12 11:52:05,33.5 MB,
2024-05-12 11:52:10,34.3 MB,
2024-05-12 11:52:15,34.3 MB,
2024-05-12 11:52:20,34.3 MB,19.8 MB
2024-05-12 11:52:25,34.3 MB,19.8 MB
2024-05-12 11:52:30,34.3 MB,23.7 MB
2024-05-12 11:52:35,34.3 MB,23.7 MB
2024-05-12 11:52:40,34.3 MB,23.3 MB
2024-05-12 11:52:45,34.3 MB,23.3 MB
2024-05-12 11:52:50,34.3 MB,23.3 MB
2024-05-12 11:52:55,34.3 MB,23.3 MB
2024-05-12 11:53:00,34.3 MB,23.3 MB
2024-05-12 11:53:05,34.3 MB,23.3 MB
2024-05-12 11:53:10,34.3 MB,23.3 MB
2024-05-12 11:53:15,34.3 MB,23.3 MB
2024-05-12 11:53:20,34.3 MB,23.3 MB
2024-05-12 11:53:25,34.3 MB,23.3 MB
2024-05-12 11:53:30,34.3 MB,23.3 MB
2024-05-12 11:53:35,34.3 MB,23.3 MB
2024-05-12 11:53:40,34.3 MB,23.3 MB
