"Time","fus-aot-service","eps-aot-service","bps-jit-service","fus-jit-service","bps-aot-service","eps-jit-service"
2024-05-11 23:40:05,,,1.13%,0.337%,,0.152%
2024-05-11 23:40:10,,,1.49%,0.433%,,0.195%
2024-05-11 23:40:15,,,1.72%,0.429%,,0.169%
2024-05-11 23:40:20,,,2.06%,0.506%,,0.200%
2024-05-11 23:40:25,,,2.41%,0.514%,,0.194%
2024-05-11 23:40:30,,,2.75%,0.582%,,0.220%
2024-05-11 23:40:35,,,3.01%,0.578%,,0.260%
2024-05-11 23:40:40,,,3.34%,0.639%,,0.287%
2024-05-11 23:40:45,,,3.63%,0.702%,,0.295%
2024-05-11 23:40:50,,,3.90%,0.702%,,0.295%
2024-05-11 23:40:55,,,3.76%,0.539%,,0.244%
2024-05-11 23:41:00,,,3.76%,0.539%,,0.244%
2024-05-11 23:41:05,,,3.26%,0.431%,,0.213%
2024-05-11 23:41:10,,,2.95%,0.390%,,0.192%
2024-05-11 23:41:15,0.0850%,0.0439%,2.56%,0.331%,1.29%,0.184%
2024-05-11 23:41:20,0.108%,0.0562%,2.25%,0.292%,1.66%,0.162%
2024-05-11 23:41:25,0.113%,0.0434%,1.94%,0.250%,1.97%,0.109%
2024-05-11 23:41:30,0.133%,0.0511%,1.64%,0.211%,2.33%,0.0916%
2024-05-11 23:41:35,0.143%,0.0489%,1.32%,0.144%,2.62%,0.0868%
2024-05-11 23:41:40,0.162%,0.0553%,1.02%,0.113%,2.97%,0.0659%
2024-05-11 23:41:45,0.184%,0.0605%,,,3.28%,
2024-05-11 23:41:50,0.203%,0.0667%,,,3.63%,
2024-05-11 23:41:55,0.230%,0.0687%,,,3.97%,
2024-05-11 23:42:00,0.230%,0.0687%,,,4.11%,
2024-05-11 23:42:05,0.187%,0.0438%,,,3.40%,
2024-05-11 23:42:10,0.168%,0.0395%,,,3.06%,
2024-05-11 23:42:15,0.154%,0.0366%,,,2.70%,
2024-05-11 23:42:20,0.135%,0.0322%,,,2.37%,
