"Time","fus-aot-service","eps-aot-service","bps-jit-service","fus-jit-service","bps-aot-service","eps-jit-service"
2024-05-11 23:40:05,,,1.15 ns,1.13 ns,,1.06 ns
2024-05-11 23:40:10,,,1.47 ns,1.45 ns,,1.37 ns
2024-05-11 23:40:15,,,1.44 ns,1.47 ns,,1.45 ns
2024-05-11 23:40:20,,,1.70 ns,1.73 ns,,1.71 ns
2024-05-11 23:40:25,,,1.95 ns,1.93 ns,,1.94 ns
2024-05-11 23:40:30,,,2.20 ns,2.19 ns,,2.20 ns
2024-05-11 23:40:35,,,2.25 ns,2.24 ns,,2.23 ns
2024-05-11 23:40:40,,,2.48 ns,2.48 ns,,2.46 ns
2024-05-11 23:40:45,,,2.57 ns,2.59 ns,,2.55 ns
2024-05-11 23:40:50,,,2.79 ns,2.81 ns,,2.78 ns
2024-05-11 23:40:55,,,2.80 ns,2.79 ns,,2.82 ns
2024-05-11 23:41:00,,,3.01 ns,3.00 ns,,3.03 ns
2024-05-11 23:41:05,,,2.87 ns,2.88 ns,,2.87 ns
2024-05-11 23:41:10,,,2.87 ns,2.88 ns,,2.87 ns
2024-05-11 23:41:15,0.833 ns,0.782 ns,2.87 ns,2.88 ns,0.605 ns,2.87 ns
2024-05-11 23:41:20,1.06 ns,1.00 ns,2.87 ns,2.88 ns,0.779 ns,2.87 ns
2024-05-11 23:41:25,1.19 ns,1.19 ns,2.87 ns,2.88 ns,1.01 ns,2.87 ns
2024-05-11 23:41:30,1.40 ns,1.40 ns,2.87 ns,2.88 ns,1.20 ns,2.87 ns
2024-05-11 23:41:35,1.63 ns,1.60 ns,2.87 ns,2.88 ns,1.46 ns,2.87 ns
2024-05-11 23:41:40,1.84 ns,1.81 ns,2.87 ns,2.88 ns,1.66 ns,2.87 ns
2024-05-11 23:41:45,1.84 ns,1.79 ns,2.87 ns,2.88 ns,1.67 ns,2.87 ns
2024-05-11 23:41:50,2.03 ns,1.97 ns,2.87 ns,2.88 ns,1.85 ns,2.87 ns
2024-05-11 23:41:55,2.06 ns,2.04 ns,2.87 ns,2.88 ns,1.93 ns,2.87 ns
2024-05-11 23:42:00,2.24 ns,2.22 ns,2.87 ns,2.88 ns,2.10 ns,2.87 ns
2024-05-11 23:42:05,2.11 ns,2.09 ns,2.87 ns,2.88 ns,1.95 ns,2.87 ns
2024-05-11 23:42:10,2.11 ns,2.09 ns,2.87 ns,2.88 ns,1.95 ns,2.87 ns
2024-05-11 23:42:15,2.11 ns,2.09 ns,2.87 ns,2.88 ns,1.95 ns,2.87 ns
2024-05-11 23:42:20,2.11 ns,2.09 ns,2.87 ns,2.88 ns,1.95 ns,2.87 ns
