"Time","fus-aot-service","eps-aot-service","bps-jit-service","fus-jit-service","bps-aot-service","eps-jit-service"
2024-05-11 23:39:55,,,28.4 MB,44.6 MB,,28.1 MB
2024-05-11 23:40:00,,,28.4 MB,44.6 MB,,28.1 MB
2024-05-11 23:40:05,,,36.0 MB,54.6 MB,,33.1 MB
2024-05-11 23:40:10,,,36.0 MB,54.6 MB,,33.1 MB
2024-05-11 23:40:15,,,38.1 MB,60.1 MB,,32.7 MB
2024-05-11 23:40:20,,,38.1 MB,60.1 MB,,32.7 MB
2024-05-11 23:40:25,,,45.4 MB,58.4 MB,,34.2 MB
2024-05-11 23:40:30,,,45.4 MB,58.4 MB,,34.2 MB
2024-05-11 23:40:35,,,50.5 MB,64.5 MB,,35.2 MB
2024-05-11 23:40:40,,,50.5 MB,64.5 MB,,35.2 MB
2024-05-11 23:40:45,,,51.7 MB,57.1 MB,,34.8 MB
2024-05-11 23:40:50,,,51.7 MB,57.1 MB,,34.8 MB
2024-05-11 23:40:55,,,54.3 MB,62.7 MB,,37.0 MB
2024-05-11 23:41:00,,,54.3 MB,62.7 MB,,37.0 MB
2024-05-11 23:41:05,57.9 MB,15.2 MB,54.3 MB,62.7 MB,37.9 MB,37.0 MB
2024-05-11 23:41:10,57.9 MB,15.2 MB,54.3 MB,62.7 MB,37.9 MB,37.0 MB
2024-05-11 23:41:15,66.7 MB,16.8 MB,54.3 MB,62.7 MB,42.4 MB,37.0 MB
2024-05-11 23:41:20,66.7 MB,16.8 MB,54.3 MB,62.7 MB,42.4 MB,37.0 MB
2024-05-11 23:41:25,76.4 MB,16.8 MB,54.3 MB,62.7 MB,45.0 MB,37.0 MB
2024-05-11 23:41:30,76.4 MB,16.8 MB,54.3 MB,62.7 MB,45.0 MB,37.0 MB
2024-05-11 23:41:35,61.9 MB,16.8 MB,54.3 MB,62.7 MB,45.0 MB,37.0 MB
2024-05-11 23:41:40,61.9 MB,16.8 MB,54.3 MB,62.7 MB,45.0 MB,37.0 MB
2024-05-11 23:41:45,66.1 MB,16.8 MB,54.3 MB,62.7 MB,47.1 MB,37.0 MB
2024-05-11 23:41:50,66.1 MB,16.8 MB,54.3 MB,62.7 MB,47.1 MB,37.0 MB
2024-05-11 23:41:55,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
2024-05-11 23:42:00,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
2024-05-11 23:42:05,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
2024-05-11 23:42:10,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
2024-05-11 23:42:15,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
2024-05-11 23:42:20,71.4 MB,16.8 MB,54.3 MB,62.7 MB,49.2 MB,37.0 MB
