"Time","SRS-AOT","SRS-JIT","SRS-JIT-Trimmed"
"2024-05-12 12:39:02",,,
"2024-05-12 12:39:02",,,
"2024-05-12 12:39:03",,,
"2024-05-12 12:39:03",,,
"2024-05-12 12:39:04",,,
"2024-05-12 12:39:04",,,
"2024-05-12 12:39:05",,,
"2024-05-12 12:39:05",,,
"2024-05-12 12:39:06",,,
"2024-05-12 12:39:06",,,
"2024-05-12 12:39:07",,,
"2024-05-12 12:39:07",,,
"2024-05-12 12:39:08",,,
"2024-05-12 12:39:08",,,
"2024-05-12 12:39:09",,,
"2024-05-12 12:39:09",,,
"2024-05-12 12:39:10",,,
"2024-05-12 12:39:10",,,
"2024-05-12 12:39:11",,,
"2024-05-12 12:39:11",,,
"2024-05-12 12:39:12",,,
"2024-05-12 12:39:12",,,
"2024-05-12 12:39:13",,,
"2024-05-12 12:39:13",,,
"2024-05-12 12:39:14",,,
"2024-05-12 12:39:14",,,
"2024-05-12 12:39:15",,,
"2024-05-12 12:39:15",,,
"2024-05-12 12:39:16",,,
"2024-05-12 12:39:16",,,
"2024-05-12 12:39:17",,,
"2024-05-12 12:39:17",,"2.90 s",
"2024-05-12 12:39:18",,,
"2024-05-12 12:39:18",,,
"2024-05-12 12:39:19",,,
"2024-05-12 12:39:19",,,
"2024-05-12 12:39:20",,,
"2024-05-12 12:39:20",,,
"2024-05-12 12:39:21",,"2.45 s",
"2024-05-12 12:39:21",,,
"2024-05-12 12:39:22",,,
"2024-05-12 12:39:22",,,
"2024-05-12 12:39:23",,,
"2024-05-12 12:39:23",,,
"2024-05-12 12:39:24",,"2.34 s",
"2024-05-12 12:39:24",,,
"2024-05-12 12:39:25",,,
"2024-05-12 12:39:25",,,
"2024-05-12 12:39:26",,,
"2024-05-12 12:39:26",,,
"2024-05-12 12:39:27",,"2.24 s",
"2024-05-12 12:39:27",,,
"2024-05-12 12:39:28",,,
"2024-05-12 12:39:28",,,
"2024-05-12 12:39:29",,,
"2024-05-12 12:39:29",,,
"2024-05-12 12:39:30",,"2.18 s",
"2024-05-12 12:39:30",,,
"2024-05-12 12:39:31",,,
"2024-05-12 12:39:31",,,
"2024-05-12 12:39:32",,,
"2024-05-12 12:39:32",,,
"2024-05-12 12:39:33",,,
"2024-05-12 12:39:33",,,
"2024-05-12 12:39:34",,"2.45 s",
"2024-05-12 12:39:34",,,
"2024-05-12 12:39:35",,,
"2024-05-12 12:39:35",,,
"2024-05-12 12:39:36",,,
"2024-05-12 12:39:36",,,
